group,name,sel,mock,err,mds_names,libfracsurvive
118,4ug-rep2d,mtvir-rep2d-118-4ug,mtvir-rep2d,wt-DNA-rep2,118-4ug-rep2d,0.005177235
118,8ug-rep2d,mtvir-rep2d-118-8ug,mtvir-rep2d,wt-DNA-rep2,118-8ug-rep2d,0.000167766
118,4ug-rep3d,mtvir-rep3d-118-4ug,mtvir-rep3d,wt-DNA-rep3,118-4ug-rep3d,0.0051816779999999995
118,8ug-rep3d,mtvir-rep3d-118-8ug,mtvir-rep3d,wt-DNA-rep3,118-8ug-rep3d,0.0006734689999999999
212,6ug-rep1v2b,mtvir-rep1v2b-212-6ug,mtvir-rep1v2b,wt-DNA-rep1,212-6ug-rep1v2b,0.034943168
212,8ug-rep3e,mtvir-rep3e-212-8ug,mtvir-rep3e,wt-DNA-rep3,212-8ug-rep3e,0.006214775
212,10ug-rep1v2a,mtvir-rep1v2a-212-10ug,mtvir-rep1v2a,wt-DNA-rep1,212-10ug-rep1v2a,0.002501396
212,7ug-rep1v2a,mtvir-rep1v2a-212-7ug,mtvir-rep1v2a,wt-DNA-rep1,212-7ug-rep1v2a,0.007341482
IDC0136,8500ug-rep1v2b,mtvir-rep1v2b-IDC0136-8500ug,mtvir-rep1v2b,wt-DNA-rep1,IDC0136-8500ug-rep1v2b,0.04126587
IDC0136,7000ug-rep1v2b,mtvir-rep1v2b-IDC0136-7000ug,mtvir-rep1v2b,wt-DNA-rep1,IDC0136-7000ug-rep1v2b,0.06297330400000001
IDC0136,5500ug-rep1v2b,mtvir-rep1v2b-IDC0136-5500ug,mtvir-rep1v2b,wt-DNA-rep1,IDC0136-5500ug-rep1v2b,0.136000955
IDC0337,6000ug-rep1v2b,mtvir-rep1v2b-IDC0337-6000ug,mtvir-rep1v2b,wt-DNA-rep1,IDC0337-6000ug-rep1v2b,0.059009668
IDC0337,4500ug-rep1v2b,mtvir-rep1v2b-IDC0337-4500ug,mtvir-rep1v2b,wt-DNA-rep1,IDC0337-4500ug-rep1v2b,0.091161243
IDC0337,4000ug-rep1v2b,mtvir-rep1v2b-IDC0337-4000ug,mtvir-rep1v2b,wt-DNA-rep1,IDC0337-4000ug-rep1v2b,0.10200934
IDC208,6000ug-rep1v2b,mtvir-rep1v2b-IDC208-6000ug,mtvir-rep1v2b,wt-DNA-rep1,IDC208-6000ug-rep1v2b,0.068418903
IDC208,5000ug-rep1v2b,mtvir-rep1v2b-IDC208-5000ug,mtvir-rep1v2b,wt-DNA-rep1,IDC208-5000ug-rep1v2b,0.103580829
IDC208,4000ug-rep1v2b,mtvir-rep1v2b-IDC208-4000ug,mtvir-rep1v2b,wt-DNA-rep1,IDC208-4000ug-rep1v2b,0.150961614
IDC403,8500ug-rep1v2b,mtvir-rep1v2b-IDC403-8500ug,mtvir-rep1v2b,wt-DNA-rep1,IDC403-8500ug-rep1v2b,0.000359057
IDC403,7500ug-rep1v2b,mtvir-rep1v2b-IDC403-7500ug,mtvir-rep1v2b,wt-DNA-rep1,IDC403-7500ug-rep1v2b,0.0008930569999999999
IDC403,6000ug-rep1v2b,mtvir-rep1v2b-IDC403-6000ug,mtvir-rep1v2b,wt-DNA-rep1,IDC403-6000ug-rep1v2b,0.001969129
IDC561,3000ug-rep1v2a,mtvir-rep1v2a-561-IgG-3000ug,mtvir-rep1v2a,wt-DNA-rep1,IDC561-3000ug-rep1v2a,0.0024783970000000002
IDC561,2500ug-rep3e,mtvir-rep3e-561-IgG-2500ug,mtvir-rep3e,wt-DNA-rep3,IDC561-2500ug-rep3e,0.023229918999999998
IDC561,3500ug-rep1v2a,mtvir-rep1v2a-561-IgG-3500ug,mtvir-rep1v2a,wt-DNA-rep1,IDC561-3500ug-rep1v2a,0.00181995
IDC561,2800ug-rep1v2b,mtvir-rep1v2b-561-IgG-2800ug,mtvir-rep1v2b,wt-DNA-rep1,IDC561-2800ug-rep1v2b,0.007366521
IDC561,2200ug-rep1v2b,mtvir-rep1v2b-561-IgG-2200ug,mtvir-rep1v2b,wt-DNA-rep1,IDC561-2200ug-rep1v2b,0.012112296000000002
QA013-2,2ug-rep2,mtvir-rep2-QA013-2-2ug,mtvir-rep2,wt-DNA-rep2,QA013-2-2ug-rep2,0.032488
QA013-2,4ug-rep3,mtvir-rep3-QA013-2-4ug,mtvir-rep3,wt-DNA-rep3,QA013-2-4ug-rep3,0.001661
QA013-2,4ug-rep2,mtvir-rep2-QA013-2-4ug,mtvir-rep2,wt-DNA-rep2,QA013-2-4ug-rep2,0.002637
QA013-2282dpi,d40-rep1v2b,mtvir-rep1v2b-QA013-2282dpi-d40,mtvir-rep1v2b,wt-DNA-rep1,QA013-2282dpi-d40-rep1v2b,0.470668784
QA013-2282dpi,d25-rep1v2b,mtvir-rep1v2b-QA013-2282dpi-d25,mtvir-rep1v2b,wt-DNA-rep1,QA013-2282dpi-d25-rep1v2b,0.278700662
QA013-2282dpi,d15-rep1v2a,mtvir-rep1v2a-QA013-2282dpi-d15,mtvir-rep1v2a,wt-DNA-rep1,QA013-2282dpi-d15-rep1v2a,0.001444478
QA013-2282dpi,d10-rep1v2a,mtvir-rep1v2a-QA013-2282dpi-d10,mtvir-rep1v2a,wt-DNA-rep1,QA013-2282dpi-d10-rep1v2a,0.00031665400000000003
QA013-2282dpi,d7-5-rep3e,mtvir-rep3e-QA013-2282dpi-d7-5,mtvir-rep3e,wt-DNA-rep3,QA013-2282dpi-d7-5-rep3e,0.000388446
